ID: 2, Timestamp: 0.3533334, Drone Position: (-354.61, 45.00, -107.38), Speed: 1.866667, Camera Position: (-103.24, 0.00, -107.38), Camera Rotation: (0.00, 270.00, 0.00), Slider Value: 50, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.4668925, Drone Position: (-354.33, 45.00, -107.38), Speed: 2.434462, Camera Position: (-103.28, 1.75, -107.34), Camera Rotation: (356.75, 266.53, 1.72), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.5345563, Drone Position: (-354.15, 45.00, -107.38), Speed: 2.772782, Camera Position: (-103.28, 1.75, -107.34), Camera Rotation: (356.84, 266.53, 1.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.5517254, Drone Position: (-354.10, 45.00, -107.38), Speed: 2.858627, Camera Position: (-103.28, 1.75, -107.34), Camera Rotation: (356.89, 266.45, 1.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.5711961, Drone Position: (-354.04, 45.00, -107.38), Speed: 2.955981, Camera Position: (-103.28, 1.75, -107.34), Camera Rotation: (356.95, 266.49, 1.88), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.5995777, Drone Position: (-353.95, 45.00, -107.38), Speed: 3.097888, Camera Position: (-103.28, 1.75, -107.34), Camera Rotation: (356.45, 266.23, 1.38), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.6235117, Drone Position: (-353.88, 45.00, -107.38), Speed: 3.217559, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.75, 266.22, 1.19), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.6518865, Drone Position: (-353.78, 45.00, -107.38), Speed: 3.359432, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.92, 266.32, 1.34), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.6662281, Drone Position: (-353.73, 45.00, -107.38), Speed: 3.431141, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.41, 266.30, 1.29), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.6813124, Drone Position: (-353.68, 45.00, -107.38), Speed: 3.506562, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.66, 266.31, 1.42), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.6946499, Drone Position: (-353.63, 45.00, -107.38), Speed: 3.57325, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.37, 266.29, 1.43), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7084993, Drone Position: (-353.58, 45.00, -107.38), Speed: 3.642496, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.27, 266.32, 1.41), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7222846, Drone Position: (-353.53, 45.00, -107.38), Speed: 3.711423, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (355.04, 266.32, 1.44), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7359865, Drone Position: (-353.48, 45.00, -107.38), Speed: 3.779932, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (354.69, 266.32, 1.43), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7504061, Drone Position: (-353.42, 45.00, -107.38), Speed: 3.852031, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (354.29, 266.33, 1.36), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7647879, Drone Position: (-353.36, 45.00, -107.38), Speed: 3.923939, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (354.03, 266.36, 1.30), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7778807, Drone Position: (-353.31, 45.00, -107.38), Speed: 3.989404, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (353.93, 266.42, 1.22), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.7916887, Drone Position: (-353.26, 45.00, -107.38), Speed: 4.058444, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (353.90, 266.49, 1.24), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.8064228, Drone Position: (-353.20, 45.00, -107.38), Speed: 4.132114, Camera Position: (-103.28, 1.76, -107.34), Camera Rotation: (353.84, 266.54, 1.30), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.8201271, Drone Position: (-353.14, 45.00, -107.38), Speed: 4.200636, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.81, 266.60, 1.34), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.8336353, Drone Position: (-353.08, 45.00, -107.38), Speed: 4.268177, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.74, 266.64, 1.36), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
