Timestamp: 0.3533334, Position: (-355.17, 45.00, -107.38), Speed: 1.866667, Slider Value: 50, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.428413, Position: (-355.03, 45.00, -107.38), Speed: 2.242065, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.49151, Position: (-354.89, 45.00, -107.38), Speed: 2.55755, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5079749, Position: (-354.85, 45.00, -107.38), Speed: 2.639875, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5384498, Position: (-354.77, 45.00, -107.38), Speed: 2.792249, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5645298, Position: (-354.69, 45.00, -107.38), Speed: 2.922649, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5845435, Position: (-354.63, 45.00, -107.38), Speed: 3.022718, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6127324, Position: (-354.55, 45.00, -107.38), Speed: 3.163662, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6277322, Position: (-354.50, 45.00, -107.38), Speed: 3.238661, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6511599, Position: (-354.43, 45.00, -107.38), Speed: 3.3558, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6681151, Position: (-354.37, 45.00, -107.38), Speed: 3.440576, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6904485, Position: (-354.29, 45.00, -107.38), Speed: 3.552243, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.703963, Position: (-354.24, 45.00, -107.38), Speed: 3.619816, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7177231, Position: (-354.19, 45.00, -107.38), Speed: 3.688616, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7315665, Position: (-354.14, 45.00, -107.38), Speed: 3.757833, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7454278, Position: (-354.09, 45.00, -107.38), Speed: 3.82714, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7628065, Position: (-354.02, 45.00, -107.38), Speed: 3.914033, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7738869, Position: (-353.98, 45.00, -107.38), Speed: 3.969435, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7862324, Position: (-353.93, 45.00, -107.38), Speed: 4.031162, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8005629, Position: (-353.87, 45.00, -107.38), Speed: 4.102815, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8144571, Position: (-353.82, 45.00, -107.38), Speed: 4.172286, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8286785, Position: (-353.76, 45.00, -107.38), Speed: 4.243393, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8427426, Position: (-353.70, 45.00, -107.38), Speed: 4.313714, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8555962, Position: (-353.64, 45.00, -107.38), Speed: 4.377982, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8699638, Position: (-353.58, 45.00, -107.38), Speed: 4.449819, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8842428, Position: (-353.52, 45.00, -107.38), Speed: 4.521214, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8981346, Position: (-353.45, 45.00, -107.38), Speed: 4.590673, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9119644, Position: (-353.39, 45.00, -107.38), Speed: 4.659822, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9263567, Position: (-353.32, 45.00, -107.38), Speed: 4.731784, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9402885, Position: (-353.26, 45.00, -107.38), Speed: 4.801443, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9534419, Position: (-353.19, 45.00, -107.38), Speed: 4.86721, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9720051, Position: (-353.10, 45.00, -107.38), Speed: 4.960025, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.003991, Position: (-352.94, 45.00, -107.38), Speed: 5.119956, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.024678, Position: (-352.84, 45.00, -107.38), Speed: 5.223388, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.037688, Position: (-352.77, 45.00, -107.38), Speed: 5.288441, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.052011, Position: (-352.69, 45.00, -107.38), Speed: 5.360056, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.065848, Position: (-352.62, 45.00, -107.38), Speed: 5.42924, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.079506, Position: (-352.55, 45.00, -107.38), Speed: 5.497528, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.094626, Position: (-352.46, 45.00, -107.38), Speed: 5.573132, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.107705, Position: (-352.39, 45.00, -107.38), Speed: 5.638525, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.120715, Position: (-352.32, 45.00, -107.38), Speed: 5.703577, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.134975, Position: (-352.23, 45.00, -107.38), Speed: 5.774876, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.148817, Position: (-352.15, 45.00, -107.38), Speed: 5.844085, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.162848, Position: (-352.07, 45.00, -107.38), Speed: 5.91424, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.18081, Position: (-351.97, 45.00, -107.38), Speed: 6.00405, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.191056, Position: (-351.91, 45.00, -107.38), Speed: 6.055278, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.204132, Position: (-351.83, 45.00, -107.38), Speed: 6.120659, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.218161, Position: (-351.74, 45.00, -107.38), Speed: 6.190805, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.232068, Position: (-351.65, 45.00, -107.38), Speed: 6.260342, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.245874, Position: (-351.57, 45.00, -107.38), Speed: 6.329372, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.260633, Position: (-351.47, 45.00, -107.38), Speed: 6.403163, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.274577, Position: (-351.38, 45.00, -107.38), Speed: 6.472888, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.288008, Position: (-351.30, 45.00, -107.38), Speed: 6.540039, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.30177, Position: (-351.21, 45.00, -107.38), Speed: 6.60885, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.315922, Position: (-351.11, 45.00, -107.38), Speed: 6.679609, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.329959, Position: (-351.02, 45.00, -107.38), Speed: 6.749796, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.344095, Position: (-350.93, 45.00, -107.38), Speed: 6.820477, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.358161, Position: (-350.83, 45.00, -107.38), Speed: 6.890806, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.372102, Position: (-350.73, 45.00, -107.38), Speed: 6.96051, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.390479, Position: (-350.61, 45.00, -107.38), Speed: 7.052398, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
