Timestamp: 211.5663, Position: (-355.21,45, -107.38), Speed: 0.682421, Slider Value: 50, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.584, Position: (-355.20,45, -107.38), Speed: 0.77082, Slider Value: 50, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.6406, Position: (-355.15,45, -107.38), Speed: 1.053967, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.6737, Position: (-355.12,45, -107.38), Speed: 1.219329, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.7349, Position: (-355.05,45, -107.38), Speed: 1.52548, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.7531, Position: (-355.02,45, -107.38), Speed: 1.616444, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.7739, Position: (-354.98,45, -107.38), Speed: 1.720345, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.8003, Position: (-354.94,45, -107.38), Speed: 1.852115, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.826, Position: (-354.89,45, -107.38), Speed: 1.980747, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.8533, Position: (-354.84,45, -107.38), Speed: 2.117453, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.8677, Position: (-354.81,45, -107.38), Speed: 2.189311, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.8823, Position: (-354.77,45, -107.38), Speed: 2.262425, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.8947, Position: (-354.75,45, -107.38), Speed: 2.324246, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9085, Position: (-354.71,45, -107.38), Speed: 2.393281, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.922, Position: (-354.68,45, -107.38), Speed: 2.460666, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9355, Position: (-354.65,45, -107.38), Speed: 2.528223, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9518, Position: (-354.61,45, -107.38), Speed: 2.609673, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9618, Position: (-354.58,45, -107.38), Speed: 2.659966, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9762, Position: (-354.54,45, -107.38), Speed: 2.731564, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 211.9901, Position: (-354.51,45, -107.38), Speed: 2.801139, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.0044, Position: (-354.47,45, -107.38), Speed: 2.872573, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.0178, Position: (-354.43,45, -107.38), Speed: 2.939548, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.0315, Position: (-354.39,45, -107.38), Speed: 3.008053, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.0455, Position: (-354.34,45, -107.38), Speed: 3.078017, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
