Timestamp: 0.3533334, Drone Position: (-354.61, 45.00, -107.38), Speed: 1.866667, Camera Position: (-103.24, 0.00, -107.38), Camera Rotation: (0.00, 270.00, 0.00), Slider Value: 50, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5068957, Drone Position: (-354.21, 45.00, -107.38), Speed: 2.634478, Camera Position: (-103.11, 1.73, -107.39), Camera Rotation: (7.96, 271.85, 357.98), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5517476, Drone Position: (-354.08, 45.00, -107.38), Speed: 2.858738, Camera Position: (-103.11, 1.73, -107.39), Camera Rotation: (7.98, 271.75, 358.00), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.5692509, Drone Position: (-354.03, 45.00, -107.38), Speed: 2.946255, Camera Position: (-103.11, 1.73, -107.39), Camera Rotation: (8.14, 271.24, 358.22), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.584998, Drone Position: (-353.98, 45.00, -107.38), Speed: 3.02499, Camera Position: (-103.11, 1.73, -107.39), Camera Rotation: (8.15, 271.18, 358.25), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6255674, Drone Position: (-353.85, 45.00, -107.38), Speed: 3.227838, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.24, 270.58, 358.51), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6372588, Drone Position: (-353.81, 45.00, -107.38), Speed: 3.286294, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.21, 270.81, 358.41), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.6593583, Drone Position: (-353.73, 45.00, -107.38), Speed: 3.396792, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.22, 270.75, 358.44), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.683412, Drone Position: (-353.65, 45.00, -107.38), Speed: 3.517061, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.21, 270.33, 358.55), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7101204, Drone Position: (-353.55, 45.00, -107.38), Speed: 3.650603, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.23, 270.30, 358.50), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7361875, Drone Position: (-353.45, 45.00, -107.38), Speed: 3.780938, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.27, 270.49, 358.45), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7498816, Drone Position: (-353.40, 45.00, -107.38), Speed: 3.849408, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.37, 270.34, 358.45), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7605035, Drone Position: (-353.36, 45.00, -107.38), Speed: 3.902518, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.40, 270.37, 358.44), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.7733679, Drone Position: (-353.31, 45.00, -107.38), Speed: 3.96684, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.35, 270.46, 358.45), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.78733, Drone Position: (-353.25, 45.00, -107.38), Speed: 4.03665, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.37, 270.47, 358.46), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8011807, Drone Position: (-353.20, 45.00, -107.38), Speed: 4.105904, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.34, 270.49, 358.46), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8154128, Drone Position: (-353.14, 45.00, -107.38), Speed: 4.177064, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.34, 270.49, 358.46), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.828876, Drone Position: (-353.08, 45.00, -107.38), Speed: 4.24438, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.35, 270.48, 358.45), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8423327, Drone Position: (-353.02, 45.00, -107.38), Speed: 4.311664, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.38, 270.46, 358.44), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8558801, Drone Position: (-352.96, 45.00, -107.38), Speed: 4.379401, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.42, 270.45, 358.44), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8693914, Drone Position: (-352.90, 45.00, -107.38), Speed: 4.446958, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.45, 270.42, 358.43), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.882965, Drone Position: (-352.84, 45.00, -107.38), Speed: 4.514825, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.47, 270.39, 358.41), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.8966956, Drone Position: (-352.78, 45.00, -107.38), Speed: 4.583478, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.48, 270.37, 358.39), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9108844, Drone Position: (-352.71, 45.00, -107.38), Speed: 4.654422, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.46, 270.36, 358.37), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9245744, Drone Position: (-352.65, 45.00, -107.38), Speed: 4.722872, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.46, 270.36, 358.36), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9387214, Drone Position: (-352.58, 45.00, -107.38), Speed: 4.793607, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.44, 270.38, 358.35), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9522198, Drone Position: (-352.51, 45.00, -107.38), Speed: 4.861099, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.40, 270.41, 358.36), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.966078, Drone Position: (-352.44, 45.00, -107.38), Speed: 4.93039, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.39, 270.42, 358.37), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.980103, Drone Position: (-352.37, 45.00, -107.38), Speed: 5.000515, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.35, 270.43, 358.37), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 0.9942344, Drone Position: (-352.30, 45.00, -107.38), Speed: 5.071173, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.30, 270.44, 358.35), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.007866, Drone Position: (-352.23, 45.00, -107.38), Speed: 5.139329, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.25, 270.46, 358.32), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.021771, Drone Position: (-352.16, 45.00, -107.38), Speed: 5.208853, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.21, 270.47, 358.30), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.035849, Drone Position: (-352.09, 45.00, -107.38), Speed: 5.279246, Camera Position: (-103.11, 1.73, -107.40), Camera Rotation: (8.16, 270.47, 358.28), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.049875, Drone Position: (-352.01, 45.00, -107.38), Speed: 5.349375, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (8.13, 270.46, 358.27), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.063816, Drone Position: (-351.94, 45.00, -107.38), Speed: 5.41908, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (8.09, 270.45, 358.25), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.077686, Drone Position: (-351.86, 45.00, -107.38), Speed: 5.488431, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (8.01, 270.45, 358.21), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.091642, Drone Position: (-351.78, 45.00, -107.38), Speed: 5.558209, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (7.94, 270.44, 358.16), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.105637, Drone Position: (-351.70, 45.00, -107.38), Speed: 5.628185, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (7.89, 270.44, 358.14), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.127832, Drone Position: (-351.58, 45.00, -107.38), Speed: 5.73916, Camera Position: (-103.10, 1.73, -107.40), Camera Rotation: (7.86, 270.44, 358.13), Slider Value: 48, Phase: MoveToInitial, Scenario: 1
