Question,Slider Value,Scenario
1: I felt uncertain about what the drone was going to do (in terms of behaviour).,1,3
2: The drone behaviour was always clear to me.,4,3
3: I was able to understand why things happened.,1,3
4: I felt uncertain about what the drone was doing (in terms of behaviour).,1,3
5: The drone behaved unpredictably.,2,3
6: It’s difficult to identify what the drone will do next.,2,3
7: I felt certain about what the drone was going to do (in terms of behaviour).,5,3
8: I trusted the drone behaviour to be safe.,4,3
9: I felt certain about what the drone was doing (in terms of behaviour).,5,3
10: I relied on the drone to make safe decisions with its behaviour.,4,3
