Question,Slider Value,Scenario
1: I felt uncertain about what the drone was going to do.,4,5
2: The drone behaviour was always clear to me.,1,5
3: I was able to understand why things happened.,4,5
4: I felt uncertain about what the drone was doing.,4,5
5: The drone behaved unpredictably.,4,5
6: It’s difficult to identify what the drone will do next.,4,5
7: I felt certain about what the drone was going to do.,2,5
8: I trusted the drone behaviour to be safe.,2,5
9: I felt certain about what the drone was doing.,2,5
10: I relied on the drone to make safe decisions with its behaviour.,2,5
