Question,Slider Value,Scenario
1: I felt uncertain about what the drone was going to do.,2,4
2: The drone behaviour was always clear to me.,4,4
3: I was able to understand why things happened.,4,4
4: I felt uncertain about what the drone was doing.,2,4
5: The drone behaved unpredictably.,2,4
6: It’s difficult to identify what the drone will do next.,2,4
7: I felt certain about what the drone was going to do.,4,4
8: I trusted the drone behaviour to be safe.,4,4
9: I felt certain about what the drone was doing.,4,4
10: I relied on the drone to make safe decisions with its behaviour.,3,4
